gtype,gid,gname,pid,seq,dtype,URL DB DATA,비고
WB,011,음란사이트,01,001,1,ama69tv.com,pid name -> 유해사이트
WB,011,음란사이트,01,001,1,100boziporno.com,
WB,011,음란사이트,01,001,1,ama10porno.com,
WB,011,음란사이트,01,001,1,www.yadongzoa.com,
WB,011,음란사이트,01,001,1,www.tvhottv.com,
WB,011,음란사이트,01,001,2,192.168.0.253,
WB,011,음란사이트,01,001,1,www.reduniform.com,
WB,011,음란사이트,01,001,1,www.gumung10zil.com,
WB,011,음란사이트,01,001,1,10amasex.com,
WB,011,음란사이트,01,001,1,yahan-movie.com,
WB,011,음란사이트,01,001,1,soraporno.com,
WB,011,음란사이트,01,001,1,10azoommaporno.com,
WB,011,음란사이트,01,001,1,eroshankook.com,
WB,011,음란사이트,01,001,1,naverpornosex.com,
WB,011,음란사이트,01,001,1,livepornosex.com,
WB,011,음란사이트,01,001,1,pornoloveyou.com,
WB,011,음란사이트,01,001,1,nude--sex.com,
WB,011,음란사이트,01,001,1,10adaporno.com,
WB,011,음란사이트,01,001,1,100bozi.net,
WB,011,음란사이트,01,001,1,sex--net.com,
WB,011,음란사이트,01,001,1,sex2030.net,
WB,011,음란사이트,01,001,1,porno10.biz,
WB,011,음란사이트,01,001,1,eroznsex.com,
WB,011,음란사이트,01,001,1,www.nudecity.co.kr,
WB,011,음란사이트,01,001,1,sexclub5678.com,
WB,011,음란사이트,01,001,1,racinggirlnude.net,
WB,011,음란사이트,01,001,1,sunginnovel.com,
WB,011,음란사이트,01,001,1,leejeunnude.com,
WB,011,음란사이트,01,001,1,www.892sora.net,
WB,011,음란사이트,01,001,2,10.10.10.99,
WB,011,음란사이트,01,001,1,pornonovel.com/,
WB,011,음란사이트,01,001,1,www.tvhottv.com/,
WB,011,음란사이트,01,001,1,www.ssibzil.net/,
WB,011,음란사이트,01,001,1,www.livesextape.com/,
WB,011,음란사이트,01,001,1,atporno.com/,
WB,011,음란사이트,01,001,1,www.anycomix.com,
